Company_Name,Age_group,First_trading_date_on_NSE,NSE_symbol,BSE_scrip_id,NSE_suspended_from_date,First_trading_date_on_BSE,NSE_suspended_to_date,BSE_suspended_from_date,BSE_suspended_to_date,Date_of_delisting_from_BSE,Promoters_In_nos__Shares_held,Promoters_In_nos__Pledged_Shares,Indian_Promoters_In_nos__Shares_held,Foreign_Promoters_In_nos__Shares_held,Total_Shares_In_%__Shares_held,Total_Shares_In_%__Pledged_Shares,Promoters_In_%__Shares_held,Promoters_In_%__Pledged_Shares,Indian_Promoters_In_%__Shares_held,Indian_Promoters_In_%__Pledged_Shares,Foreign_Promoters_In_%__Shares_held,Foreign_Promoters_In_%__Pledged_Shares,AIS_DATE_L3,QIS_DATE_L3,AIS_Net__sales_L3,QIS_Net__sales_L3,AIS_L3_Net_ProfitLossafter_tax,QIS_L3_Net_ProfitLossafter_tax,AIS_DATE_L2,QIS_DATE_L2,QIS_Net__sales_L2,AIS_Net__sales_L2,QIS_L2_Net_ProfitLossafter_tax,AIS_L2_Net_ProfitLossafter_tax,QIS_DATE_L1,AIS_DATE_L1,AIS_Net__sales_L1,QIS_Net__sales_L1,QIS_L1_Net_ProfitLossafter_tax,AIS_L1_Net_ProfitLossafter_tax,QIS_DATE_L,AIS_DATE_L,AIS_Net__sales_L,QIS_Net__sales_L,AIS_L_Net_ProfitLossafter_tax,QIS_L_Net_ProfitLossafter_tax,AFC_Sales,AFS_Sales,AFS_Income_from_financial_services,AFC_Income_from_financial_services,AFC_Interest_income,AFS_Interest_income,AFS_Dividend_income,AFC_Dividend_income,AFC_Total_expenses,AFS_Total_expenses,AFC_Profit_after_tax,AFS_Profit_after_tax,AFS_Total_liabilities,AFC_Total_liabilities,AFC_Total_capital,AFS_Total_capital,AFC_Reserves_and_funds,AFS_Reserves_and_funds,AFC_Noncurrent_liabilities,AFS_Noncurrent_liabilities,AFS_Long_term_borrowings,AFC_Long_term_borrowings,AFC_Current_liabilities_&_provisions,AFS_Current_liabilities_&_provisions,AFS_Total_assets,AFC_Total_assets,AFC_Net_fixed_assets,AFS_Net_fixed_assets,AFC_Long_term_investments,AFS_Long_term_investments,AFC_Long_term_loans_&_advances,AFS_Long_term_loans_&_advances,AFC_Other_long_term_assets,AFS_Other_long_term_assets,AFS_Current_assets,AFC_Current_assets,AFC_Short_term_investments,AFC_Short_term_investments,AFS_Short_term_inventories,AFC_Short_term_inventories,AFS_Cash_balance,AFC_Cash_balance,AFC_Bank_balance_short_term,AFS_Bank_balance_short_term,AFC_Net_cash_flow_from_operating_activities,AFS_Net_cash_flow_from_operating_activities,AFC_Net_cash_inflow_or_outflow,AFS_Net_cash_inflow_or_outflow,AFS_Net_cash_inflow_or_outflow,AFC_Net_cash_inflow_or_outflow,AFC_Cash_and_cash_equivalent,AFS_Cash_and_cash_equivalent,BSE_Closing_Price_INR,Market_Capitalisation_CR,NSE_Date_,Beta,NSE_Closing_Price_INR,BSE_Face_Value_INR_,BSE_EPS_INR,NSE_Shares_Outstanding_,Alpha,NSE_Face_Value_INR,BSE_Consolidated_EPS_INR,NSE_EPS_INR,BSE_Cash_EPS_INR,NSE_Consolidated_EPS_INR,BSE_Consolidated_Cash_EPS_INR,NSE_Cash_EPS_INR,BSE_PE_,BSE_PB_,NSE_Consolidated_Cash_EPS,BSE_Enterprise_value,NSE_PE_,NSE_PB_,BSE_Market_Capitalisation__Enterprise_Value,BSE_Enterprise_Value__PBDITA,NSE_Enterprise_value,NSE_Market_Capitalisation__Enterprise_Value,NSE_Enterprise_Value__PBDITA
N R Agarwal Inds. Ltd.,After 1991,05-04-2017,NRAIL,NRAGRINDQ,,20-09-1994,,,,,12588166,12516998,12588166,,100,73.55,73.96,99.43,73.96,99.43,0,,31-03-2020,30-09-2022,1404.93,504.04,116.75,27.44,31-03-2021,31-12-2022,380.2,1145.64,19.29,57.23,31-03-2023,31-03-2022,1616.51,386.42,19.88,61.02,30-06-2023,31-03-2023,1766.07,368.67,99.3,40.56,,1769.28,11.31,,,3.88,,,,1692.29,,99.3,1044.59,,,17.02,,618.62,,259.04,158.22,,,149.91,1044.59,,,483.18,,0.53,,95.8,,,339.4,,,,129.64,,0.01,,,49.73,,164.62,,-132.03,-24.62,,,8.03,371,631.45,15-09-2023,1.31,371.05,10,63.46,17019100,-0.3,10,,63.46,84.53,,,84.53,5.85,0.93,,744.93,5.85,0.93,0.85,3.77,745.01,0.85,3.77
N R B Bearings Ltd.,Between 1951 and 1971,08-03-2000,NRBBEARING,NRBBEARING,,29-05-1995,,,,,48696286,300000,36180405,12515881,100,0.31,50.24,0.62,37.33,0.83,12.91,,31-03-2020,30-09-2022,751.96,260.8,29.45,14.76,31-03-2021,31-12-2022,249.01,735.89,20.73,43.73,31-03-2023,31-03-2022,912.44,277.74,27.26,70.14,30-06-2023,31-03-2023,1023.1,247.4,85.8,35.67,944.18,913.81,13.24,10,0.66,1.03,1.28,0.09,949.86,922.4,75.61,70.14,1328.23,1409.95,32.48,19.38,569.2,557.75,376.34,358.22,67.15,67.28,431.93,392.88,1328.23,1409.95,357.79,310.22,19.3,56.76,326.17,307.97,3.82,3.32,633.04,680.07,14.52,,254.36,288.85,0.03,0.04,67.59,54.31,15.58,8.11,-51.75,-45.05,22.76,23.59,61.67,50.65,274.35,2659.56,15-09-2023,1.36,274.45,2,8.34,96922600,-0.14,2,9.7,8.34,12.12,9.7,14.02,12.12,32.9,4.16,14.02,2885.21,32.91,4.16,0.92,15.26,2886.18,0.92,15.27
N R B Industrial Bearings Ltd.,After 1991,16-04-2013,NIBL,NIBL,,15-04-2013,,,,,17861116,,15520210,2340906,100,,73.71,,64.05,,9.66,,31-03-2020,30-09-2022,41.69,20.81,-18.91,-2.15,31-03-2021,31-12-2022,22.31,56.41,-1.91,4.22,31-03-2023,31-03-2022,69.44,21.81,-3.73,-9.82,30-06-2023,31-03-2023,80.73,17.45,-13.12,-6.45,81.66,81.66,0.63,0.63,0.01,0.01,,,97.85,97.85,-13.12,-13.12,137.91,133.31,117.41,117.38,-82.2,-77.56,18.48,18.46,5.35,5.37,79.62,79.63,137.91,133.31,64.83,64.83,0.65,5.25,2.45,2.45,1.67,1.67,49.46,49.46,,,24.96,24.96,0.01,0.01,0.61,0.61,3.74,3.74,-1.76,-1.76,-7.66,-7.66,0.16,0.16,29.9,72.33,15-09-2023,0.89,29.8,2,-5.99,24230650,0.13,2,-5.85,-5.99,-2.15,-5.85,-2.01,-2.15,,,-2.01,184.21,,,0.39,29.06,183.97,0.39,29.02
N R International Ltd.,After 1991,,,NRINTER,,07-04-2005,,04-11-2019,,,7422079,,7422079,,100,,69.53,,69.53,,0,,31-03-2020,30-09-2022,0.03,,-0.19,0.08,31-03-2021,31-12-2022,,,0.02,0.12,31-03-2023,31-03-2022,,,-0.18,-0.06,30-06-2023,31-03-2023,,,0.08,-0.19,,,1.04,,,1.04,,,,1.1,,-0.06,21.63,,,10.67,,10.87,,,,,,0.09,21.63,,,1.43,,5.56,,0.56,,,13.82,,,,,,,,,0.55,,0.05,,0.32,,,,0.55,5,5.34,,-0.35,,10,-0.42,,0.28,,,,-0.39,,,,,0.25,,5.28,,,1.01,0,,,
N T C Industries Ltd.,After 1991,,,NTCIND,,23-02-1995,,,,,7870699,,7870699,,100,,65.9,,65.9,,0,,31-03-2020,30-09-2022,14.15,15.43,2.8,1.84,31-03-2021,31-12-2022,7.05,21.88,-0.39,6.29,31-03-2023,31-03-2022,22.93,7.61,-1.21,4.44,30-06-2023,31-03-2023,40.37,9.91,1.65,1.98,33.12,43.18,2.61,5.1,4.99,2.44,,,27.13,45.09,9.01,1.65,82.98,109.58,11.94,11.94,70.63,48.78,5.24,5.46,2,2,21.77,16.8,82.98,109.58,28.93,8.08,4.33,4.77,3.57,3.56,,,66.08,69.83,,,7.02,4.4,,0.01,1.32,2.52,3.12,0.35,-5.91,0.85,0.14,-2.54,1.33,2.52,89.54,106.95,,0.82,,10,1.83,,0.34,,5.74,,2.37,,7.44,,48.83,1.71,,113,,,0.95,31.65,,,
N T P C Ltd.,Between 1972 and 1985,05-11-2004,NTPC,NTPC,,05-11-2004,,,,,4955346251,,4955346251,,100,,51.1,,51.1,,0,,31-03-2020,30-09-2022,97700.39,41015.14,10112.81,3331.2,31-03-2021,31-12-2022,41410.52,99206.72,4476.25,13769.52,31-03-2023,31-03-2022,121174.55,41317.86,5672.32,16281.99,30-06-2023,31-03-2023,163769.77,39122.25,17196.73,4066.04,168983.96,156493.18,5070.91,2923.06,2910.2,2722.47,2342.54,6.96,161428.25,150152.93,16516.36,17359.54,421021.21,483067.87,13627.12,9696.67,137326.5,129193.21,243304.91,203832.71,157131.13,189487.61,88809.34,78298.62,421021.21,483067.87,240424.42,196895.88,13922.72,30322.86,47606.09,43535.92,17421.1,16652.92,69496.53,69943.56,50,50,13882.09,14453.86,0.95,0.97,4947.56,3778.09,40051.55,35398.57,-26107.2,-14062.76,-21450.16,-14154.47,465.65,3.13,236.35,229107.98,15-09-2023,0.81,236.2,10,13.07,9696666134,0.06,10,13.3,13.07,27.96,13.3,30.14,27.96,18.08,1.64,30.14,411207.22,18.07,1.64,0.56,8.3,411061.77,0.56,8.29
Naapbooks Ltd.,After 1991,,,NBL,,15-09-2021,,,,,1921536,,1921536,,100,,63.91,,63.91,,,,,,,,,,31-03-2021,,,2.71,,0.47,,31-03-2022,2.8,,,0.23,,31-03-2023,5.21,,0.63,,,5.21,0.06,,,0.01,,,,4.64,,0.63,10.19,,,1.96,,5.64,,0.37,0.32,,,2.22,10.19,,,1.46,,,,0.05,,,5.02,,,,,,0.05,,,0.72,,2.2,,-2.59,1.14,,,0.77,110,33.07,,,,10,2.13,,,,,,3.69,,,,51.68,2.49,,33.1,,,1,22.52,,,
Nachmo Knitex Ltd.,Between 1972 and 1985,,,NACHKNIT,,09-03-1994,,26-02-2009,,,5577919,,5577919,,100,,37.11,,37.11,,,,31-12-2004,31-03-2008,89.63,9.69,-17.95,-26.86,31-03-2006,30-06-2008,9.57,93.81,-1.07,-8.76,30-09-2008,31-03-2007,66.4,8.6,-1.1,-4.74,31-12-2008,31-03-2008,47.71,3.14,-9.26,-15.13,,47.71,,,,,,,,77.69,,-29.1,40.76,,,15.03,,-47.7,,,,,,16.78,40.76,,,11.57,,,,,,,,,,,,,0.01,,,,,0.5,,-0.19,-0.2,,,0.44,0.45,0.68,,0.61,,10,-7.11,,-0.65,,,,-5.8,,,,,,,56.66,,,0.01,0,,,
Naga Dhunseri Group Ltd.,Before 1950,30-08-2016,NDGL,,,,,,,,735826,,734540,1286,100,,73.58,,73.45,,0.13,,31-03-2020,30-09-2022,2.35,6.95,-0.36,5.34,31-03-2021,31-12-2022,3.95,7.34,3.08,3.55,31-03-2023,31-03-2022,6.57,0.17,-0.72,4.19,30-06-2023,31-03-2023,11.28,4.99,7.54,3.97,0.33,0.33,6.25,5.91,0.03,0.03,2.02,1.68,2.96,2.96,3.85,4.19,206.91,652.47,1,1,639.68,194.12,,,,,2.76,2.76,206.91,652.47,4.93,4.93,,,,,,,,,,,,,0.05,0.05,,,4.48,4.81,-1.79,-2.12,-0.66,-0.66,2.7,2.7,,175.92,15-09-2023,0.73,1759.2,,,1000000,0.13,10,,116.8,,428.9,,121.9,,,434,,15.06,0.85,,,177.64,0.99,30.16
Nagarjuna Agri Tech Ltd.,Between 1986 and 1990,,,NAGTECH,,12-07-1996,,26-12-2001,16-11-2007,,2945147,,2945147,,100,,31.43,,31.43,,0,,31-03-2020,30-09-2022,3.03,0.57,-0.37,-0.01,31-03-2021,31-12-2022,0.81,1.77,0.05,-1.8,31-03-2023,31-03-2022,2.64,0.96,-0.04,-0.46,30-06-2023,31-03-2023,2.65,0.46,-0.17,5.86,,2.64,0.01,,,,,,,2.8,,-0.17,3.9,,,9.37,,-6.49,,,,,,1.02,3.9,,,1.93,,1.68,,,,,0.29,,,,0.02,,0.05,,,0.01,,0.15,,-0.11,,,,0.06,5.87,5.5,,-0.02,,10,-0.72,,0.25,,,,-0.58,,,,,0.63,,5.89,,,0.93,294.48,,,
Nagarjuna Fertilizers & Chemicals Ltd.,After 1991,15-06-2016,NAGAFERT,NAGARFERT,,15-06-2016,,,,,341700129,296072140,328500129,13200000,100,49.51,57.13,86.65,54.93,90.13,2.21,,31-03-2020,30-09-2022,1704.51,2070.07,-472.35,-182.69,31-03-2021,31-12-2022,1246.04,1574.91,-2.02,-615.33,31-03-2023,31-03-2022,2696.92,835.31,-575.61,-669.91,30-06-2023,31-03-2023,5642.2,1073.63,-902.64,-805.45,2692.33,2692.33,0.72,0.72,0.72,0.72,,,3410.89,3391.77,-689.02,-669.91,2911.72,2911.86,59.84,59.81,-1232.29,-1231.08,413.22,413.22,21.84,21.84,3671.09,3669.77,2911.72,2911.86,2106.18,2106.18,0,0,5.46,5.46,,,728.12,728.26,,,46.41,46.4,0.15,0.15,43.58,43.43,64.85,64.85,19.28,19.29,-183.2,-183.19,-1218.2,-1218.22,8.74,523.01,15-09-2023,1.14,8.75,1,-4.29,598065003,-0.01,1,-4.29,-4.29,-3.1,-4.29,-3.1,-3.1,,,-3.1,511.79,,,1.02,0,512.39,1.02,0
Nagpur Power & Inds. Ltd.,After 1991,,,NAGPI,,18-09-2000,,,,,8017937,,8017937,,100,,61.23,,61.23,,0,,31-03-2020,30-09-2022,0.15,,-0.1,1.5,31-03-2021,31-12-2022,,0.01,0.32,2.28,31-03-2023,31-03-2022,0.16,,-0.46,6.12,30-06-2023,31-03-2023,,,-1.44,1.11,33,0.16,9.37,8.86,0.27,0.8,0.15,0.15,40.51,4.57,1.62,5.09,78.89,99.09,12.72,13.1,66.75,65.48,1.71,0.07,,1.2,17.91,0.24,78.89,99.09,48.85,18.41,3,26.84,1.72,11.27,1.46,1.3,21.07,44.01,19.88,19.88,,12.23,,0.02,2.54,0.03,2.84,-1.45,-0.66,5.9,-4.47,-2.34,0.12,0.04,70.31,92.07,,0.64,,10,1.88,,0.48,,-0.33,,1.94,,1.94,,37.43,1.18,,67.92,,,1.36,10.25,,,
Nagreeka Capital & Infrastructure Ltd.,After 1991,18-09-2007,NAGREEKCAP,NAGREEKCAP,,18-09-2007,,,,,6753159,,6753159,,100,,53.53,,53.53,,0,,31-03-2020,30-09-2022,88.41,4.15,-64.73,0.8,31-03-2021,31-12-2022,3.13,10.9,0.09,0.18,31-03-2023,31-03-2022,15.56,12.83,-37.85,3.59,30-06-2023,31-03-2023,21.83,13.56,-36.29,1.34,,0.02,13.17,,,2.24,1.28,,,9.67,,3.59,171.72,,,18.31,,19.34,,,,,,8.71,171.72,,,1.26,,,,,,,,,,,,,0.16,,,,,-36.54,,-1.62,38.26,,,0.27,17.5,21.45,15-09-2023,1.04,16.5,5,-28.21,12615300,0.24,5,,-28.21,-28.18,,,-28.18,,,,158.99,,,0.14,12.67,157.73,0.13,12.57
Nagreeka Exports Ltd.,Between 1986 and 1990,12-05-1995,NAGREEKEXP,NAGREEKEXP,,25-03-1994,,21-03-2007,17-06-2007,,6608709,,6608709,,100,,52.87,,52.87,,0,,31-03-2020,30-09-2022,472.32,73.04,0.68,-5.64,31-03-2021,31-12-2022,70.05,385.01,0.41,-8.33,31-03-2023,31-03-2022,551.79,125.5,6.25,6.19,30-06-2023,31-03-2023,388.51,130.34,3.03,1.25,177.87,552.97,0.64,30.67,0.55,,0.64,0.53,173.14,556.7,34.51,6.19,352.48,209.56,11.77,8.76,94.5,102.87,,65.35,45.43,,8.53,175.5,352.48,209.56,70.25,114.13,,10.96,,5.91,,,219.11,,,,114.88,,0.45,0.02,,2.53,-16.99,,-50.84,,,69.64,3.19,,42.85,53.53,15-09-2023,1.45,42.8,5,1.81,12499700,0.09,5,,1.81,7.64,,,7.64,23.7,0.47,,237.58,23.67,0.47,0.23,8.2,237.52,0.23,8.2
Nahar Capital & Financial Services Ltd.,After 1991,11-03-2008,NAHARCAP,NAHARCAP,,11-03-2008,,,,,11980946,,11980946,,100,,71.54,,71.54,,0,,31-03-2020,30-09-2022,23.5,19.78,14.63,17.84,31-03-2021,31-12-2022,12.52,47.15,5.84,29.67,31-03-2023,31-03-2022,49.32,7.41,4.03,30.43,30-06-2023,31-03-2023,39.92,13.42,27.81,9.19,4.59,4.59,35.04,29.04,8.33,8.04,12.75,6.46,-4.3,12.37,38.12,27.81,864.2,1684.08,8.37,8.37,1520.04,843.03,,,,,7.4,7.87,864.2,1684.08,0.02,0.02,,,,,,,,,,,,,,,,,27.17,27.19,-23.09,-23.11,-4.15,-4.15,1.22,1.22,323.35,541.7,15-09-2023,1.49,323.6,5,21.87,16746167,0.21,5,30.75,21.87,22.48,30.75,31.36,22.48,14.79,0.63,31.36,539.63,14.8,0.63,1,16.67,540.05,1,16.68
Nahar Industrial Enterprises Ltd.,Between 1972 and 1985,19-01-1995,NAHARINDUS,NAHARINDUS,28-02-2001,04-05-1989,14-12-2005,,,,30781065,,30781065,,100,,71.24,,71.24,,0,,31-03-2020,30-09-2022,1572.73,468.63,-24.69,28.37,31-03-2021,31-12-2022,451.91,1418.03,10.13,-9.13,31-03-2023,31-03-2022,2006.36,398.01,13.97,156.81,30-06-2023,31-03-2023,1773.87,391.54,79.27,-5.98,1787.13,1787.13,2.1,2.1,1.91,1.91,0.19,0.19,1638.53,1638.52,79.26,79.27,1349.13,1361.12,85.59,85.59,882.92,873.35,79.92,77.5,50.85,50.84,312.69,312.69,1349.13,1361.12,460.42,460.42,149.22,137.22,23.68,23.68,0.03,0.04,693.7,693.7,6.14,6.14,426.58,426.58,0.17,0.17,3.03,3.03,503.53,503.53,-54.98,-54.98,-448.68,-448.68,0.52,0.52,146.5,633.39,15-09-2023,1.46,146.7,10,4.69,43205581,0,10,4.74,4.69,15.81,4.74,15.85,15.81,31.26,0.7,15.85,933.51,31.3,0.7,0.68,4.99,934.38,0.68,4.99
Nahar Poly Films Ltd.,Between 1986 and 1990,10-05-1995,NAHARPOLY,NAHARPOLY,,04-06-1991,,,,,17421134,,17421134,,100,,70.85,,70.85,,0,,31-03-2020,30-09-2022,277.25,190.3,32.9,7.36,31-03-2021,31-12-2022,159.64,303.48,-0.84,51.44,31-03-2023,31-03-2022,488.94,148.82,1.13,87.68,30-06-2023,31-03-2023,723.19,156.2,31.94,-5.85,723.12,723.12,5.85,4.86,2.93,2.93,2.37,1.38,697.21,697.21,30.95,31.94,679.89,979.29,12.57,12.57,766.78,467.38,134.24,134.24,122.93,122.93,65.7,65.7,679.89,979.29,269.47,269.47,559.73,260.32,7.33,7.33,,,142.59,142.58,7.84,7.84,50,50,0.01,0.01,33.21,33.21,,,,,,,,,252.85,622.44,15-09-2023,1.43,253.45,5,0.68,24587991,0.55,5,6.71,0.68,13.81,6.71,19.84,13.81,374.52,1.32,19.84,751.98,375.41,1.33,0.83,8.58,753.45,0.83,8.6
Nahar Spinning Mills Ltd.,Between 1972 and 1985,21-11-1994,NAHARSPING,NAHARSPING,,01-06-1987,,,,,23964879,,23964879,,100,,66.45,,66.45,,0,,31-03-2020,30-09-2022,2082.7,656.87,-53.06,39.76,31-03-2021,31-12-2022,554.41,2111.87,-11.02,41.41,31-03-2023,31-03-2022,3593.86,723.74,9.79,502.19,30-06-2023,31-03-2023,2796.91,748.9,110.79,-17.5,,2799.27,13.68,,,10.07,1.18,,,2695.17,,116.27,2553.62,,,18.05,,1535.85,,259.88,218.06,,,739.84,2553.62,,,830.92,,154.82,,103.81,,0.01,1361.34,,,15.06,792.72,,0.35,,,52.51,,628.35,,-259.15,-320.08,,,52.87,272.75,983.95,15-09-2023,1.55,272.9,5,3.02,36065303,0.33,5,,3.02,23.91,,,23.91,90.25,0.64,,1525.23,90.3,0.64,0.64,5.82,1525.77,0.65,5.82
Naisargik Agritech (India) Ltd.,After 1991,,,NAISARG,,16-01-1996,,26-08-2015,,,,,,,100,,,,0,,0,,31-03-2014,30-06-2016,1.33,0.12,0.01,0,31-03-2015,30-09-2016,0.11,1.45,0.01,-0.63,31-12-2016,31-03-2016,0.39,0.22,0.02,0,31-03-2017,31-03-2017,0.45,,-3.01,-3.03,,,,,,,,,,0.03,,-0.03,0,,,6.1,,-6.4,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,2.1,1.28,,,,10,-1.05,,,,,,-1.03,,,,,0.2,,1.21,,,1.06,60.57,,,
Nakoda Group Of Inds. Ltd.,After 1991,20-08-2021,NGIL,NGIL,,06-06-2018,,,,,7328552,900000,7328552,,100,8.08,65.82,12.28,65.82,12.28,0,,31-03-2020,30-09-2022,25.09,15.82,0.03,0.25,31-03-2021,31-12-2022,17.42,30.84,0.28,1.32,31-03-2023,31-03-2022,59.62,12.62,0.16,1.7,30-06-2023,31-03-2023,54.6,9.29,0.91,0.16,,53.72,0.03,,,,,,,52.89,,0.91,42.34,,,11.13,,4.57,,8.22,6.45,,,18.42,42.34,,,12.3,,,,0.42,,,29.62,,,,18.23,,0.34,,,0.01,,3.63,,-0.77,-3.13,,,0.35,43.5,55.2,15-09-2023,0.69,43.25,10,0.67,12725142,0.78,10,,0.67,1.45,,,1.45,65.12,2.49,,77,64.75,2.48,0.72,16.18,76.69,0.72,16.11
Nakoda Ltd.,Between 1972 and 1985,23-09-1996,NAKODA,NAKODA,19-02-2019,22-12-1992,,19-02-2019,,,135819200,6218400,135819200,,100,2.07,45.27,4.58,45.27,4.58,0,,31-03-2016,30-09-2018,34.44,,-356.83,-22.16,31-03-2017,31-12-2018,,32.43,-21.39,-78.68,31-03-2019,31-03-2018,2.19,,-21.38,-476.37,30-06-2019,31-03-2019,,,-85.03,-20.29,2.19,2.19,,,,,,,477.65,477.65,-476.37,-476.37,1010.14,1010.15,150,150,-1042.42,-1042.42,1889.42,1889.42,1887.59,1887.59,13.15,13.14,1010.14,1010.15,215.2,215.2,45.5,47.75,30.47,30.47,,,571.72,570.73,,,12.88,12.88,,,3.24,3.24,-2.17,-2.16,2.02,2.02,-0.02,-0.01,3.24,3.24,0.19,3.6,18-02-2019,0.77,0.05,5,-15.89,300000000,-0.69,5,-15.81,-15.89,-13.22,-15.81,-13.13,-13.22,,,-13.13,1890.83,,,0,0,1886.63,0,0
Naksh Precious Metals Ltd.,After 1991,,,VAL,,16-10-2015,,,,,46400,,46400,,100,,0.44,,0.44,,0,,31-03-2020,30-09-2022,2.85,0.03,-6.39,-0.02,31-03-2021,31-12-2022,,0.55,-0.03,-0.34,31-03-2023,31-03-2022,0.31,0.02,0.05,0.04,30-06-2023,31-03-2023,0.09,0.03,0.01,0,0.09,0.09,,,,,,,0.28,0.19,-0.09,0,9.36,10.89,10.5,10.52,-5.52,-4.57,0.21,0.1,,0.11,5.7,3.31,9.36,10.89,0.45,0.38,,1.84,,,,,6.74,10.01,,,,,,0.03,0.02,0.02,-7.11,-7.06,4.6,4.6,2.27,2.29,0.06,0.02,19.32,20.33,,0.43,,10,-0.01,,0.79,,-0.1,,0.04,,-0.03,,,3.42,,23.58,,,0.86,471.51,,,
Nalin Lease Finance Ltd.,Between 1986 and 1990,,,NLFL,,10-11-1995,,,,,4658706,,4658706,,100,,71.04,,71.04,,,,31-03-2020,30-09-2022,4.99,1.52,1.99,0.76,31-03-2021,31-12-2022,1.53,4.89,0.88,2.52,31-03-2023,31-03-2022,5.59,1.32,0.61,2.6,30-06-2023,31-03-2023,5.78,1.53,2.99,0.77,,,5.77,,,5.48,,,,2.97,,2.99,30.58,,,6.56,,21.12,,,,,,1.34,30.58,,,0.98,,,,,,,,,,,,,0.09,,,,,-1.55,,1.02,1.01,,,0.93,33.47,21.95,,0.52,,10,4.3,,0.37,,,,4.54,,,,7.78,0.77,,22.56,,,0.97,5.14,,,
Nalwa Sons Invsts. Ltd.,Between 1951 and 1971,03-11-1994,NSIL,NSIL,,05-06-1986,,,,,2856490,695832,2852240,4250,100,13.55,55.62,24.36,55.53,24.4,0.08,,31-03-2020,30-09-2022,40.95,94.09,24.58,70,31-03-2021,31-12-2022,5.35,43.71,4.21,33.21,31-03-2023,31-03-2022,68.15,6.7,3.92,56.36,30-06-2023,31-03-2023,112.07,22.21,80.95,15.78,,,112.09,127.56,32.09,20.72,89.24,89.24,35.01,31.14,92.59,80.95,9243.98,9461.47,40.8,5.14,7988.36,7801.27,,,,,16.68,17.61,9243.98,9461.47,0.06,0.06,,,,,,,,,,,,,,0.01,,,72.17,70.15,-67.68,-65.69,-0.88,-0.88,4.98,4.83,2553.1,1313.69,15-09-2023,0.94,2562.35,10,182.86,5136163,0.23,10,197.05,182.86,182.9,197.05,197.09,182.9,13.96,0.17,197.09,1292.29,14.01,0.17,1.01,11.74,1297.04,1.01,11.78
Nam Securities Ltd.,After 1991,,,NAM,,05-06-2014,,27-08-2015,26-01-2016,,4044000,,4044000,,100,,75,,75,,0,,31-03-2020,30-09-2022,64.87,18.64,0.3,0.2,31-03-2021,31-12-2022,15.29,85.68,0.12,0.26,31-03-2023,31-03-2022,86.18,18.82,-0.5,0.45,30-06-2023,31-03-2023,71.7,20.15,0.03,0.25,,,2.1,,,0.09,0.07,,,1.65,,0.45,11.19,,,5.39,,5.24,,0.08,,,,0.48,11.19,,,0.5,,,,,,,10.69,,,,8.03,,0.05,,,1.73,,0.17,,0.09,,,,0.44,63.5,34.24,,0.28,,10,0.13,,0.48,,,,0.28,,,,489.13,3.14,,33.8,,,1.01,35.21,,,
Nanavati Ventures Ltd.,After 1991,,,NVENTURES,,06-05-2022,,,,,859100,,859100,,100,,52.13,,52.13,,0,,,,,,,,31-03-2021,,,11.24,,0.12,,31-03-2022,18.74,,,0.01,,31-03-2023,15.99,,0.09,,,18.74,0.07,,,0.07,,,,21.59,,0.01,17.71,,,1.21,,4.97,,,,,,11.53,17.71,,,0.03,,,,,,,17.68,,,,2.79,,0.09,,,0.08,,0.12,,-0.02,,,,0.17,41.25,19.26,,,,10,0.54,,,,,,0.56,,,,77.06,0.87,,19.09,,,1.01,381.87,,,
Nandan Denim Ltd.,After 1991,29-12-2005,NDL,NDL,07-03-2012,13-06-2005,22-03-2012,07-03-2012,22-03-2012,,93506441,,85500030,8006411,100,,64.87,,59.31,,5.55,,31-03-2020,30-09-2022,1524.26,527.59,-0.59,0.59,31-03-2021,31-12-2022,262.24,1090.23,-13.38,-18.72,31-03-2023,31-03-2022,2175.57,457.16,3.03,67.82,30-06-2023,31-03-2023,2026.76,554.37,0.8,1.7,,2026.77,3.56,,,1.19,,,,2040.72,,0.8,1345.93,,,144.15,,396.21,,219.17,163.01,,,586.4,1345.93,,,534.47,,0.32,,24.49,,2.31,762.22,,,,207.32,,0.18,,,27.38,,140.95,,-21.08,-145.35,,,3.17,23.26,335.57,15-09-2023,1.52,23.3,10,-0.83,144147168,-0.3,10,,-0.83,1.5,,,1.5,,0.62,,794.66,,0.62,0.42,8.23,795.23,0.42,8.23
Nandani Creation Ltd.,After 1991,10-10-2016,JAIPURKURT,,,,,,,,5884100,1100000,5884100,0,100,10.96,58.64,18.69,58.64,18.69,0,,31-03-2019,31-03-2022,36.08,11.7,1.02,-0.37,31-03-2020,30-06-2022,13.12,43.53,0.39,0.74,30-09-2022,31-03-2021,45.69,12.47,0.18,1.5,31-12-2022,31-03-2022,55.2,8.6,0.1,-1.45,62.84,55.22,0.03,0.22,0.01,0.03,,,61.35,56.05,0.5,0.1,33.06,43.13,10.03,10.03,5.75,4.83,8.36,7.17,6.98,8.16,18.99,11.03,33.06,43.13,5.43,4.41,0.06,0.55,0.77,0.69,0.65,0.45,26.69,35.92,,,14.39,20.42,0.09,0.11,0.11,0.11,-3.17,-3.41,-3.32,-2.66,6.14,6.59,0.23,0.2,,92.21,15-09-2023,0.25,80.65,,,11433950,0.85,10,,-0.66,,-0.77,,0.37,,,0.76,,,3.68,,,106.72,0.86,44.47
